category,hts_pattern,source,notes
auto_part,850140,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,850151,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,850152,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,850710,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,850760,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85079040,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85079080,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8511100000,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85112000,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8511300040,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8511300080,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85114000,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85115000,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85118020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85118060,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8511906020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8511906040,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85122020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85122040,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85123000,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85124020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85124040,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85129020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85129060,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85129070,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85198120,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8525601010,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,852721,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,852729,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8536410005,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
